DAYOFWEEK,MONTH,LOCATION,LATITUDE,LONGITUDE,CRIMECAT
4,2,NAS ST. POLY,8.507164,8.520902,3
0,9,BUKAN-SIDI,8.528667,8.518594,5
0,1,BUKAN-SIDI,8.528667,8.518594,7
4,2,U.A.C ROAD,8.497414,8.513013,1
4,2,NAS ST. POLY,8.507164,8.520902,11
3,2,OLD TOMATO MARKET,8.2935,8.3112,11
0,10,NAS ST. POLY,8.507164,8.520902,11
5,11,NAS ST. POLY,8.507164,8.520902,9
4,2,OLD TOMATO MARKET,8.2935,8.3112,1
4,2,MODERN MARKET,8.491388,8.528523,1
6,11,BUKAN-SIDI,8.528667,8.518594,1
4,2,NAS ST. POLY,8.507164,8.520902,13
4,2,NAS ST. POLY,8.507164,8.520902,3
4,12,OLD TOMATO MARKET,8.2935,8.3112,11
3,1,LAFIA EAST,8.490988,8.527665,7
0,5,OLD TOMATO MARKET,8.2935,8.3112,13
5,6,BUKAN-SIDI,8.528667,8.518594,11
4,2,NAS ST. POLY,8.507164,8.520902,12
4,2,U.A.C ROAD,8.497414,8.513013,2
4,2,NAS ST. POLY,8.507164,8.520902,2
4,2,OLD TOMATO MARKET,8.2935,8.3112,12
4,2,U.A.C ROAD,8.497414,8.513013,11
0,8,BUKAN-SIDI,8.528667,8.518594,13
4,2,OLD TOMATO MARKET,8.2935,8.3112,5
4,2,U.A.C ROAD,8.497414,8.513013,13
5,1,U.A.C ROAD,8.497414,8.513013,1
4,2,U.A.C ROAD,8.497414,8.513013,11
4,2,BUKAN-SIDI,8.528667,8.518594,11
4,2,NAS ST. POLY,8.507164,8.520902,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,5
4,2,U.A.C ROAD,8.497414,8.513013,7
3,5,NAS ST. POLY,8.507164,8.520902,11
4,2,U.A.C ROAD,8.497414,8.513013,5
4,2,NAS ST. POLY,8.507164,8.520902,3
4,2,OLD TOMATO MARKET,8.2935,8.3112,12
4,2,U.A.C ROAD,8.497414,8.513013,8
4,2,OLD TOMATO MARKET,8.2935,8.3112,5
6,6,NAS ST. POLY,8.507164,8.520902,11
4,2,NAS ST. POLY,8.507164,8.520902,11
4,2,NAS ST. POLY,8.507164,8.520902,3
4,2,POST OFFICE,8.496123,8.516234,9
2,4,U.A.C ROAD,8.497414,8.513013,11
4,2,NAS ST. POLY,8.507164,8.520902,13
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,U.A.C ROAD,8.497414,8.513013,11
4,5,U.A.C ROAD,8.497414,8.513013,8
3,11,BUKAN-SIDI,8.528667,8.518594,13
4,2,BUKAN-SIDI,8.528667,8.518594,1
4,2,BUKAN-SIDI,8.528667,8.518594,5
4,2,BUKAN-SIDI,8.528667,8.518594,7
2,12,BUKAN-SIDI,8.528667,8.518594,11
4,2,NAS ST. POLY,8.507164,8.520902,3
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
1,12,NAS ST. POLY,8.507164,8.520902,9
4,2,BUKAN-SIDI,8.528667,8.518594,12
3,2,OLD TOMATO MARKET,8.2935,8.3112,11
3,5,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,9
4,2,POST OFFICE,8.496123,8.516234,11
2,1,OLD TOMATO MARKET,8.2935,8.3112,7
4,12,U.A.C ROAD,8.497414,8.513013,1
2,1,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,BUKAN-SIDI,8.528667,8.518594,5
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,NAS ST. POLY,8.507164,8.520902,5
4,2,NAS ST. POLY,8.507164,8.520902,12
2,11,NAS ST. POLY,8.507164,8.520902,9
4,2,U.A.C ROAD,8.497414,8.513013,13
4,2,BUKAN-SIDI,8.528667,8.518594,11
2,11,NAS ST. POLY,8.507164,8.520902,11
4,2,POST OFFICE,8.496123,8.516234,13
4,2,OLD TOMATO MARKET,8.2935,8.3112,7
5,4,OLD TOMATO MARKET,8.2935,8.3112,11
4,12,NAS ST. POLY,8.507164,8.520902,13
4,2,NAS ST. POLY,8.507164,8.520902,11
4,2,U.A.C ROAD,8.497414,8.513013,5
4,2,OLD TOMATO MARKET,8.2935,8.3112,7
4,11,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,5
5,1,OLD TOMATO MARKET,8.2935,8.3112,2
3,11,BUKAN-SIDI,8.528667,8.518594,2
4,2,NAS ST. POLY,8.507164,8.520902,5
2,6,BUKAN-SIDI,8.528667,8.518594,11
4,2,U.A.C ROAD,8.497414,8.513013,7
4,2,OLD TOMATO MARKET,8.2935,8.3112,5
4,2,BUKAN-SIDI,8.528667,8.518594,5
4,2,U.A.C ROAD,8.497414,8.513013,7
0,6,NAS ST. POLY,8.507164,8.520902,5
4,5,U.A.C ROAD,8.497414,8.513013,1
4,2,BUKAN-SIDI,8.528667,8.518594,11
4,2,BUKAN-SIDI,8.528667,8.518594,9
4,2,OLD TOMATO MARKET,8.2935,8.3112,1
4,2,U.A.C ROAD,8.497414,8.513013,11
6,9,U.A.C ROAD,8.497414,8.513013,2
4,2,OLD TOMATO MARKET,8.2935,8.3112,12
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,5
6,10,U.A.C ROAD,8.497414,8.513013,112
4,6,NAS ST. POLY,8.507164,8.520902,11
4,2,U.A.C ROAD,8.497414,8.513013,11
4,2,NAS ST. POLY,8.507164,8.520902,13
3,11,BUKAN-SIDI,8.528667,8.518594,5
4,2,NAS ST. POLY,8.507164,8.520902,5
4,2,NAS ST. POLY,8.507164,8.520902,7
3,10,U.A.C ROAD,8.497414,8.513013,1
4,2,NAS ST. POLY,8.507164,8.520902,7
2,9,BUKAN-SIDI,8.528667,8.518594,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,NAS ST. POLY,8.507164,8.520902,7
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,NAS ST. POLY,8.507164,8.520902,13
4,2,U.A.C ROAD,8.497414,8.513013,1
4,2,POST OFFICE,8.496123,8.516234,7
4,2,NAS ST. POLY,8.507164,8.520902,3
4,2,NAS ST. POLY,8.507164,8.520902,2
4,2,BUKAN-SIDI,8.528667,8.518594,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,U.A.C ROAD,8.497414,8.513013,112
4,2,U.A.C ROAD,8.497414,8.513013,5
4,2,BUKAN-SIDI,8.528667,8.518594,3
4,2,NAS ST. POLY,8.507164,8.520902,12
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,NAS ST. POLY,8.507164,8.520902,5
4,2,BUKAN-SIDI,8.528667,8.518594,9
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,BUKAN-SIDI,8.528667,8.518594,5
4,2,U.A.C ROAD,8.497414,8.513013,11
0,9,BUKAN-SIDI,8.528667,8.518594,11
4,2,U.A.C ROAD,8.497414,8.513013,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,5
4,2,BUKAN-SIDI,8.528667,8.518594,11
1,11,NAS ST. POLY,8.507164,8.520902,13
4,2,NAS ST. POLY,8.507164,8.520902,11
4,2,U.A.C ROAD,8.497414,8.513013,2
5,9,BUKAN-SIDI,8.528667,8.518594,12
4,10,BUKAN-SIDI,8.528667,8.518594,7
0,10,BUKAN-SIDI,8.528667,8.518594,13
6,10,NAS ST. POLY,8.507164,8.520902,11
4,2,NAS ST. POLY,8.507164,8.520902,11
4,2,U.A.C ROAD,8.497414,8.513013,7
4,2,OLD TOMATO MARKET,8.2935,8.3112,12
4,2,U.A.C ROAD,8.497414,8.513013,3
4,2,OLD TOMATO MARKET,8.2935,8.3112,1
5,10,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,NAS ST. POLY,8.507164,8.520902,11
2,11,OLD TOMATO MARKET,8.2935,8.3112,7
3,9,BUKAN-SIDI,8.528667,8.518594,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,5
6,10,BUKAN-SIDI,8.528667,8.518594,11
4,2,BUKAN-SIDI,8.528667,8.518594,5
4,2,NAS ST. POLY,8.507164,8.520902,5
4,2,NAS ST. POLY,8.507164,8.520902,3
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,U.A.C ROAD,8.497414,8.513013,11
4,2,BUKAN-SIDI,8.528667,8.518594,11
0,1,POST OFFICE,8.496123,8.516234,11
4,2,U.A.C ROAD,8.497414,8.513013,112
6,9,OLD TOMATO MARKET,8.2935,8.3112,5
4,2,BUKAN-SIDI,8.528667,8.518594,3
0,10,OLD TOMATO MARKET,8.2935,8.3112,7
4,2,NAS ST. POLY,8.507164,8.520902,12
4,2,OLD TOMATO MARKET,8.2935,8.3112,13
4,2,BUKAN-SIDI,8.528667,8.518594,11
4,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,5
4,2,U.A.C ROAD,8.497414,8.513013,11
4,9,U.A.C ROAD,8.497414,8.513013,3
4,10,OLD TOMATO MARKET,8.2935,8.3112,13
4,2,BUKAN-SIDI,8.528667,8.518594,5
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
3,6,U.A.C ROAD,8.497414,8.513013,11
4,2,U.A.C ROAD,8.497414,8.513013,13
4,2,BUKAN-SIDI,8.528667,8.518594,11
4,2,NAS ST. POLY,8.507164,8.520902,11
3,8,NAS ST. POLY,8.507164,8.520902,3
4,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,5
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,NAS ST. POLY,8.507164,8.520902,13
4,2,U.A.C ROAD,8.497414,8.513013,11
4,2,U.A.C ROAD,8.497414,8.513013,12
4,2,U.A.C ROAD,8.497414,8.513013,7
4,2,NAS ST. POLY,8.507164,8.520902,5
4,2,BUKAN-SIDI,8.528667,8.518594,5
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
1,4,BUKAN-SIDI,8.528667,8.518594,2
4,4,NAS ST. POLY,8.507164,8.520902,12
4,2,NAS ST. POLY,8.507164,8.520902,12
4,2,U.A.C ROAD,8.497414,8.513013,12
4,2,NAS ST. POLY,8.507164,8.520902,11
4,2,NAS ST. POLY,8.507164,8.520902,5
4,2,BUKAN-SIDI,8.528667,8.518594,5
4,2,NAS ST. POLY,8.507164,8.520902,13
3,1,NAS ST. POLY,8.507164,8.520902,5
5,9,U.A.C ROAD,8.497414,8.513013,5
4,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,3
4,12,NAS ST. POLY,8.507164,8.520902,11
4,2,NAS ST. POLY,8.507164,8.520902,13
4,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,11
4,10,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,5
3,6,NAS ST. POLY,8.507164,8.520902,5
4,2,U.A.C ROAD,8.497414,8.513013,5
4,2,NAS ST. POLY,8.507164,8.520902,5
4,2,BUKAN-SIDI,8.528667,8.518594,11
0,8,NAS ST. POLY,8.507164,8.520902,7
4,2,NAS ST. POLY,8.507164,8.520902,5
4,2,NAS ST. POLY,8.507164,8.520902,11
4,9,BUKAN-SIDI,8.528667,8.518594,7
4,2,NAS ST. POLY,8.507164,8.520902,4
5,5,BUKAN-SIDI,8.528667,8.518594,5
2,6,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,2
4,2,U.A.C ROAD,8.497414,8.513013,7
4,12,MODERN MARKET,8.491388,8.528523,11
5,4,U.A.C ROAD,8.497414,8.513013,7
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,U.A.C ROAD,8.497414,8.513013,112
4,6,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,NAS ST. POLY,8.507164,8.520902,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,112
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,7,U.A.C ROAD,8.497414,8.513013,5
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,U.A.C ROAD,8.497414,8.513013,112
4,2,NAS ST. POLY,8.507164,8.520902,13
4,2,NAS ST. POLY,8.507164,8.520902,13
3,10,OLD TOMATO MARKET,8.2935,8.3112,5
1,8,NAS ST. POLY,8.507164,8.520902,5
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,BUKAN-SIDI,8.528667,8.518594,5
4,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,9
0,6,OLD TOMATO MARKET,8.2935,8.3112,5
3,12,U.A.C ROAD,8.497414,8.513013,12
2,5,BUKAN-SIDI,8.528667,8.518594,11
4,10,U.A.C ROAD,8.497414,8.513013,7
4,2,U.A.C ROAD,8.497414,8.513013,11
6,6,MODERN MARKET,8.491388,8.528523,1
4,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,9
6,1,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,NAS ST. POLY,8.507164,8.520902,5
4,2,U.A.C ROAD,8.497414,8.513013,12
4,2,OLD TOMATO MARKET,8.2935,8.3112,7
4,2,BUKAN-SIDI,8.528667,8.518594,12
4,2,NAS ST. POLY,8.507164,8.520902,9
4,8,U.A.C ROAD,8.497414,8.513013,11
4,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,5
5,5,U.A.C ROAD,8.497414,8.513013,11
4,2,BUKAN-SIDI,8.528667,8.518594,13
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,U.A.C ROAD,8.497414,8.513013,11
4,2,U.A.C ROAD,8.497414,8.513013,11
6,8,OLD TOMATO MARKET,8.2935,8.3112,5
4,2,BUKAN-SIDI,8.528667,8.518594,5
3,12,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,U.A.C ROAD,8.497414,8.513013,5
4,2,NAS ST. POLY,8.507164,8.520902,3
4,2,NAS ST. POLY,8.507164,8.520902,5
